"","dataDate","PE"
"1","2014-01-02",11.3981989419457
"2","2014-01-03",11.1488253258199
"3","2014-01-06",10.7717237599711
"4","2014-01-07",10.7960528932516
"5","2014-01-08",10.8082174598919
"6","2014-01-09",10.6379135269279
"7","2014-01-10",10.4554450273237
"8","2014-01-13",10.4615273106438
"9","2014-01-14",10.7595591933308
"10","2014-01-15",10.7413123433704
"11","2014-01-16",10.8386288764926
"12","2014-01-17",10.6622426602085
"13","2014-01-20",10.6439958102481
"14","2014-01-21",10.8264643098523
"15","2014-01-22",11.0636733593379
"16","2014-01-23",11.027179659417
"17","2014-01-24",11.0150150927767
"18","2014-01-27",10.7778060432912
"19","2014-01-28",10.8142997432121
"20","2014-01-29",10.8507934431329
"21","2014-01-30",10.6439958102481
"22","2014-02-07",10.7230654934099
"23","2014-02-10",11.0393442260573
"24","2014-02-11",11.0636733593379
"25","2014-02-12",11.1001670592587
"26","2014-02-13",11.0089328094566
"27","2014-02-14",11.0393442260573
"28","2014-02-17",11.1488253258199
"29","2014-02-18",11.0028505261365
"30","2014-02-19",10.9116162763343
"31","2014-02-20",10.8629580097732
"32","2014-02-21",10.7717237599711
"33","2014-02-24",10.467609593964
"34","2014-02-25",10.3520462108813
"35","2014-02-26",10.3946221941223
"36","2014-02-27",10.1574131446367
"37","2014-02-28",10.6135843936474
"38","2014-03-03",10.4311158940431
"39","2014-03-04",10.3155525109604
"40","2014-03-05",10.2364828277986
"41","2014-03-06",10.3094702276403
"42","2014-03-07",10.1452485779965
"43","2014-03-10",9.82288756202895
"44","2014-03-11",9.74381787886711
"45","2014-03-12",9.79247614542824
"46","2014-03-13",9.9323686617915
"47","2014-03-14",9.8593812619498
"48","2014-03-17",10.0722611781548
"49","2014-03-18",10.0540143281943
"50","2014-03-19",10.0357674782339
"51","2014-03-20",9.9323686617915
"52","2014-03-21",10.169577711277
"53","2014-03-24",10.2486473944389
"54","2014-03-25",10.169577711277
"55","2014-03-26",10.1513308613166
"56","2014-03-27",10.0661788948346
"57","2014-03-28",10.1513308613166
"58","2014-03-31",9.31684570996029
"59","2014-04-01",9.41202983079522
"60","2014-04-02",9.58560087467068
"61","2014-04-03",9.49601581976722
"62","2014-04-04",9.55760554501335
"63","2014-04-08",9.65838873177974
"64","2014-04-09",9.75917191854614
"65","2014-04-10",10.6382252697864
"66","2014-04-11",10.6438243357179
"67","2014-04-14",10.4590551599795
"68","2014-04-15",10.1623046656117
"69","2014-04-16",10.1791018634061
"70","2014-04-17",9.97193642394187
"71","2014-04-18",10.0559224129139
"72","2014-04-21",9.80396444599787
"73","2014-04-22",9.78716724820348
"74","2014-04-23",9.65278966584828
"75","2014-04-24",9.60239807246508
"76","2014-04-25",9.46802049010988
"77","2014-04-28",9.35044010554909
"78","2014-04-29",9.61919527025948
"79","2014-04-30",8.99390585284603
"80","2014-05-05",9.09879105229613
"81","2014-05-06",9.0620812324886
"82","2014-05-07",8.88902065339593
"83","2014-05-08",8.87853213345092
"84","2014-05-09",9.04634845257108
"85","2014-05-12",9.2718516313888
"86","2014-05-13",9.15123365202118
"87","2014-05-14",9.11452383221365
"88","2014-05-15",9.00963863276355
"89","2014-05-16",9.11452383221365
"90","2014-05-19",8.99915011281854
"91","2014-05-20",9.03585993262607
"92","2014-05-21",9.16172217196619
"93","2014-05-22",9.04634845257108
"94","2014-05-23",9.11976809218615
"95","2014-05-26",9.15123365202118
"96","2014-05-27",9.12501235215866
"97","2014-05-28",9.22989755160876
"98","2014-05-29",9.20367625174623
"99","2014-05-30",9.13550087210367
"100","2014-06-03",9.18794347182872
"101","2014-06-04",9.19318773180122
"102","2014-06-05",9.25611885147128
"103","2014-06-06",9.1722106919112
"104","2014-06-09",9.18269921185621
"105","2014-06-10",9.2770958913613
"106","2014-06-11",9.31380571116884
"107","2014-06-12",9.31380571116884
"108","2014-06-13",9.481622030289
"109","2014-06-16",9.51833185009653
"110","2014-06-17",9.37149257086639
"111","2014-06-18",9.30856145119633
"112","2014-06-19",9.1722106919112
"113","2014-06-20",9.23514181158126
"114","2014-06-23",9.25611885147128
"115","2014-06-24",9.22989755160876
"116","2014-06-25",9.15647791199369
"117","2014-06-26",9.25611885147128
"118","2014-06-27",9.25611885147128
"119","2014-06-30",9.25611885147128
"120","2014-07-01",9.32953849108635
"121","2014-07-02",9.28234015133381
"122","2014-07-03",9.33478275105886
"123","2014-07-04",9.37149257086639
"124","2014-07-07",9.45015647045397
"125","2014-07-08",9.38722535078391
"126","2014-07-09",9.34527127100387
"127","2014-07-10",9.26136311144379
"128","2014-07-11",9.2770958913613
"129","2014-07-14",9.25611885147128
"130","2014-07-15",9.56553018984908
"131","2014-07-16",9.67565964927168
"132","2014-07-17",9.67565964927168
"133","2014-07-18",9.8015218886118
"134","2014-07-21",9.88543004817188
"135","2014-07-22",9.81201040855681
"136","2014-07-23",9.93262838792443
"137","2014-07-24",10.2210626864122
"138","2014-07-25",10.3049708459723
"139","2014-07-28",10.6825575639926
"140","2014-07-29",10.8293968432228
"141","2014-07-30",10.7507329436352
"142","2014-07-31",10.8451296231403
"143","2014-08-01",10.8241525832503
"144","2014-08-04",10.6878018239651
"145","2014-08-05",10.9500148225904
"146","2014-08-06",11.0077016822879
"147","2014-08-07",10.9762361224529
"148","2014-08-08",10.7087788638552
"149","2014-08-11",10.7664657235527
"150","2014-08-12",11.2069835612431
"151","2014-08-13",11.112586881738
"152","2014-08-14",11.1440524415731
"153","2014-08-15",10.8451296231403
"154","2014-08-18",10.9657476025079
"155","2014-08-19",11.028678722178
