secID,tradeDate,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,negMarketValue,marketValue
"000001.XSHE","2014-01-02","000001","平安银行","XSHE",12.25,12.25,12.12,12.3,12.05,12.23,4.8991088E7,5.9622374E8,21528,0.0088,6.819327993125E10,1.1643871937288E11
"000001.XSHE","2014-01-03","000001","平安银行","XSHE",12.23,12.23,12.15,12.16,11.78,11.93,5.5111484E7,6.566313E8,25975,0.0099,6.652050936875E10,1.1358249567608E11
"000001.XSHE","2014-01-06","000001","平安银行","XSHE",11.93,11.93,11.89,12.0,11.5,11.67,5.8211824E7,6.7928038E8,24931,0.0104,6.507077488125E10,1.1110710180552E11
"000001.XSHE","2014-01-07","000001","平安银行","XSHE",11.67,11.67,11.53,11.76,11.51,11.63,3.3840748E7,3.93977568E8,16294,0.0061,6.484773880625E10,1.1072627197928E11
"000001.XSHE","2014-01-08","000001","平安银行","XSHE",11.63,11.63,11.64,11.95,11.53,11.76,4.5776816E7,5.3843616E8,20293,0.0082,6.557260605E10,1.1196396891456E11
"000001.XSHE","2014-01-09","000001","平安银行","XSHE",11.76,11.76,11.69,11.99,11.65,11.82,4.8551836E7,5.7687053E8,21297,0.0087,6.59071601625E10,1.1253521365392E11
"000001.XSHE","2014-01-10","000001","平安银行","XSHE",11.82,11.82,11.78,11.95,11.66,11.82,3.8119764E7,4.50487744E8,16325,0.0068,6.59071601625E10,1.1253521365392E11
