Date,Index Code,Index Name(Eng.),Constituent Code,Constituent Name(Eng.),Exchange,Weight(%),Trading Currency
2014-12-01,000300,CSI 300,000917,Hunan TV & Broadcast Intermediary Co Ltd,Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,000937,Jizhong Energy Resources Co Ltd,Shenzhen,0.10,CNY
2014-12-01,000300,CSI 300,000960,Yunnan Tin Co Ltd,Shenzhen,0.12,CNY
2014-12-01,000300,CSI 300,000961,"Jiangsu Zhongnan Construction Group Co.,Ltd",Shenzhen,0.06,CNY
2014-12-01,000300,CSI 300,000963,Huadong Medicine Co Ltd,Shenzhen,0.18,CNY
2014-12-01,000300,CSI 300,000970,Beijing Zhong Ke San Huan High-Tech Co Ltd,Shenzhen,0.21,CNY
2014-12-01,000300,CSI 300,000983,Shanxi Xishan Coal And Electricity Power Co Ltd,Shenzhen,0.17,CNY
2014-12-01,000300,CSI 300,000999,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,Shenzhen,0.13,CNY
2014-12-01,000300,CSI 300,002001,Zhejiang NHU Co Ltd,Shenzhen,0.13,CNY
2014-12-01,000300,CSI 300,002007,Hualan Biological Engineering INC,Shenzhen,0.16,CNY
2014-12-01,000300,CSI 300,002008,"Han's Laser Technology Industry Group Co., Ltd.",Shenzhen,0.22,CNY
2014-12-01,000300,CSI 300,002024,"SUNING COMMERCE GROUP CO., LTD.",Shenzhen,0.56,CNY
2014-12-01,000300,CSI 300,002038,Beijing SL Pharmaceutical Co Ltd,Shenzhen,0.18,CNY
2014-12-01,000300,CSI 300,002051,China CAMC Engineering Co Ltd,Shenzhen,0.12,CNY
2014-12-01,000300,CSI 300,002065,"DHC Software Co.,Ltd.",Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,002081,Suzhou Gold Mantis Construction Decoration Co Ltd,Shenzhen,0.25,CNY
2014-12-01,000300,CSI 300,002106,"Shenzhen Laibao High-Technology Co.,Ltd.",Shenzhen,0.10,CNY
2014-12-01,000300,CSI 300,002129,"Tianjin Zhonghuan Semiconductor Co., Ltd.",Shenzhen,0.14,CNY
2014-12-01,000300,CSI 300,002142,Bank of Ningbo Co Ltd,Shenzhen,0.26,CNY
2014-12-01,000300,CSI 300,002146,Risesun Real Estate Development Co Ltd,Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,002202,Xinjiang Goldwind Science & Technology Co Ltd,Shenzhen,0.28,CNY
2014-12-01,000300,CSI 300,002230,"Iflytek Co.,Ltd.",Shenzhen,0.26,CNY
2014-12-01,000300,CSI 300,002236,Zhejiang Dahua Technology Co Ltd,Shenzhen,0.22,CNY
2014-12-01,000300,CSI 300,002241,GoerTek Inc,Shenzhen,0.31,CNY
2014-12-01,000300,CSI 300,002252,Shanghai RAAS Blood Products Co Ltd,Shenzhen,0.17,CNY
2014-12-01,000300,CSI 300,002269,Shanghai Metersbonwe Fashion & Accessories Co Ltd,Shenzhen,0.06,CNY
2014-12-01,000300,CSI 300,002292,Guangdong Alpha Animation and Culture Co Ltd,Shenzhen,0.09,CNY
2014-12-01,000300,CSI 300,002294,Shenzhen Salubris Pharmaceuticals Co Ltd,Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,002304,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,Shenzhen,0.32,CNY
