Date,Index Code,Index Name(Eng.),Constituent Code,Constituent Name(Eng.),Exchange,Weight(%),Trading Currency
2014-12-01,000300,CSI 300,601333,Guangshen Railway Company Limited,Shanghai,0.19,CNY
2014-12-01,000300,CSI 300,601336,New China Life Insurance Co Ltd,Shanghai,0.52,CNY
2014-12-01,000300,CSI 300,601377,Industrial Securities Co Ltd,Shanghai,0.54,CNY
2014-12-01,000300,CSI 300,601390,China Railway Group Limited,Shanghai,0.52,CNY
2014-12-01,000300,CSI 300,601398,Industrial and Commercial Bank of China Ltd,Shanghai,1.05,CNY
2014-12-01,000300,CSI 300,601555,Soochow Securities Co Ltd,Shanghai,0.27,CNY
2014-12-01,000300,CSI 300,601600,Aluminum Corporation of China Limited,Shanghai,0.20,CNY
2014-12-01,000300,CSI 300,601601,China Pacific Insurance (Group) Co Ltd,Shanghai,1.14,CNY
2014-12-01,000300,CSI 300,601607,"Shanghai Pharmaceuticals Holding Co.,Ltd",Shanghai,0.23,CNY
2014-12-01,000300,CSI 300,601618,Metallurgical Corporation of China Co Ltd,Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,601628,China Life Insurance Company Limited,Shanghai,0.50,CNY
2014-12-01,000300,CSI 300,601633,Great Wall Motor Co Ltd,Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,601666,Pingdingshan Tianan Coal Mining Co Ltd,Shanghai,0.10,CNY
2014-12-01,000300,CSI 300,601668,China State Construction Engineering Co Ltd,Shanghai,0.97,CNY
2014-12-01,000300,CSI 300,601669,"Power Construction Corporation of China,Ltd",Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,601688,Huatai Securities Co Ltd,Shanghai,0.80,CNY
2014-12-01,000300,CSI 300,601699,Shanxi Lu'an Environmental Energy Development Co Ltd,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,601766,CSR Co Ltd,Shanghai,0.42,CNY
2014-12-01,000300,CSI 300,601800,China Communications Construction Company Limited,Shanghai,0.26,CNY
2014-12-01,000300,CSI 300,601808,China Oilfield Services Limited,Shanghai,0.16,CNY
2014-12-01,000300,CSI 300,601818,China Everbright Bank Co Ltd,Shanghai,1.19,CNY
2014-12-01,000300,CSI 300,601857,PetroChina Co Ltd,Shanghai,0.49,CNY
2014-12-01,000300,CSI 300,601866,China Shipping Container Lines Co Ltd,Shanghai,0.18,CNY
2014-12-01,000300,CSI 300,601888,China International Travel Service Co Ltd,Shanghai,0.18,CNY
2014-12-01,000300,CSI 300,601898,China Coal Energy Co Ltd,Shanghai,0.16,CNY
2014-12-01,000300,CSI 300,601899,Zijin Mining Group Co Ltd,Shanghai,0.34,CNY
2014-12-01,000300,CSI 300,601901,Founder Securities Co Ltd,Shanghai,0.62,CNY
2014-12-01,000300,CSI 300,601918,SDIC Xinji Energy Co Ltd,Shanghai,0.09,CNY
2014-12-01,000300,CSI 300,601928,Jiangsu Phoenix Publishing & Media Co Ltd,Shanghai,0.12,CNY
2014-12-01,000300,CSI 300,601929,"JISHI MEDIA CO.,LTD.",Shanghai,0.16,CNY
2014-12-01,000300,CSI 300,601933,Yonghui Superstores Co Ltd,Shanghai,0.19,CNY
2014-12-01,000300,CSI 300,601939,China Construction Bank,Shanghai,0.71,CNY
2014-12-01,000300,CSI 300,601958,Jinduicheng Molybdenum Co Ltd,Shanghai,0.14,CNY
2014-12-01,000300,CSI 300,601988,Bank of China Ltd,Shanghai,0.34,CNY
2014-12-01,000300,CSI 300,601989,China Shipbuilding Industry Co Ltd,Shanghai,0.68,CNY
2014-12-01,000300,CSI 300,601991,"Datang International Power Generation Co.,Ltd.",Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,601992,BBMG Corporation,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,601998,China Citic Bank Corporation Limited,Shanghai,0.29,CNY
2014-12-01,000300,CSI 300,603000,"People.cn CO.,LTD",Shanghai,0.18,CNY
2014-12-01,000300,CSI 300,603699,"Neway Valve (Suzhou) Co., Ltd.",Shanghai,0.05,CNY
2014-12-01,000300,CSI 300,603993,"China Molybdenum Co., Ltd.",Shanghai,0.03,CNY
