"成分券代码.Constituent.Code","成分券名称.Constituent.Name","成分券英文名称.Constituent.Name.Eng..","交易所.Exchange",""
"600016","民生银行","China Minsheng Banking Corp Ltd","Shanghai","sh600016"
"600018","上港集团","Shanghai International Port (Group) Co Ltd","Shanghai","sh600018"
"600019","宝钢股份","Baoshan Iron &Steel Co Ltd","Shanghai","sh600019"
"600023","浙能电力","Zhejiang Zheneng Electric Power Co., Ltd.","Shanghai","sh600023"
"600027","华电国际","Huadian Power International Corporation Ltd","Shanghai","sh600027"
"600028","中国石化","China Petroleum & Chemical Corporation","Shanghai","sh600028"
"600029","南方航空","China Southern Airlines Co Ltd","Shanghai","sh600029"
"600030","中信证券","CITIC Securities Co Ltd","Shanghai","sh600030"
"600031","三一重工","Sany Heavy Industry Co Ltd","Shanghai","sh600031"
"600036","招商银行","China Merchants Bank Co Ltd","Shanghai","sh600036"
"600038","哈飞股份","Hafei Aviation Industry Co Ltd","Shanghai","sh600038"
"600048","保利地产","Poly Real Estate Group Co Ltd","Shanghai","sh600048"
"600050","中国联通","China United Network Communications Co Ltd","Shanghai","sh600050"
"600058","五矿发展","Minmetals Development Co Ltd","Shanghai","sh600058"
"600060","海信电器","Hisense Electric Co Ltd","Shanghai","sh600060"
"600066","宇通客车","Zhengzhou Yutong Bus Co Ltd","Shanghai","sh600066"
"600068","葛洲坝","China Gezhouba Group Co Ltd","Shanghai","sh600068"
"600079","人福医药","Humanwell Healthcare (Group) Co., Ltd.","Shanghai","sh600079"
"600085","同仁堂","Beijing Tongrentang Co Ltd","Shanghai","sh600085"
"600089","特变电工","TBEA Co Ltd","Shanghai","sh600089"
"600100","同方股份","Tsinghua Tongfang Co Ltd","Shanghai","sh600100"
"600104","上汽集团","SAIC Motor Co Ltd","Shanghai","sh600104"
"600108","亚盛集团","Gansu Yasheng Industrial (Group) Co Ltd","Shanghai","sh600108"
"600109","国金证券","Sinolink Securities Co. Ltd.","Shanghai","sh600109"
"600111","包钢稀土","Inner Mongolia Baotou Steel Rare-Earth(Group) Hi-Tech Co.,Ltd","Shanghai","sh600111"
