"成分券代码
Constituent Code","成分券名称
Constituent Name","成分券英文名称
Constituent Name(Eng.)","交易所
Exchange"
600188,兖州煤业,Yanzhou Coal Mining Co Ltd,Shanghai
600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,Shanghai
600208,新湖中宝,Xinhu Zhongbao Co Ltd,Shanghai
600221,海南航空,Hainan Airlines Co Ltd,Shanghai
600252,中恒集团,Guangxi Wuzhou Zhongheng Group Co Ltd,Shanghai
600256,广汇能源,"GUANGHUI ENERGY CO., LTD.",Shanghai
600267,海正药业,Zhejiang Hisun Pharmaceutical Co Ltd,Shanghai
600271,航天信息,"Aisino Co.,Ltd",Shanghai
600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,Shanghai
600277,亿利能源,Inner Mongolia Yili Energy Company Limited,Shanghai
600309,万华化学,"Wanhua Chemical Group Co., Ltd.",Shanghai
600315,上海家化,Shanghai Jahwa United Co Ltd,Shanghai
600316,洪都航空,Jiangxi Hongdu Aviation Industry Co Ltd,Shanghai
600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,Shanghai
600340,华夏幸福,"China Fortune Land Development Co., Ltd.",Shanghai
600348,阳泉煤业,"Yang Quan Coal Industry (Group) Co., Ltd",Shanghai
600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,Shanghai
600362,江西铜业,Jiangxi Copper Co Ltd,Shanghai
600369,西南证券,Southwest Securities Co Ltd,Shanghai
600372,中航电子,"China Avic Electronics Co.,Ltd.",Shanghai
600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,Shanghai
600383,金地集团,Gemdale Corporation,Shanghai
600395,盘江股份,Guizhou Panjiang Refined Coal Co Ltd,Shanghai
600398,海澜之家,"Heilan Home Co.,Ltd",Shanghai
600406,国电南瑞,"NARI Technology Co., Ltd.",Shanghai
600415,小商品城,Zhejiang China Commodities City Group Co Ltd,Shanghai
600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,Shanghai
600485,信威集团,"Beijing Xinwei Telecom Technology Group Co., Ltd.",Shanghai
600489,中金黄金,Zhongjin Gold Co Ltd,Shanghai
600497,驰宏锌锗,Yunnan Chihong Zinc&Germanium Co Ltd,Shanghai
600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,Shanghai
600516,方大炭素,"Fangda Carbon New Material Co.,Ltd",Shanghai
600518,康美药业,Kangmei Pharmaceutical Co Ltd,Shanghai
600519,贵州茅台,Kweichow Moutai Co Ltd,Shanghai
600535,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",Shanghai
600547,山东黄金,Shandong Gold-Mining Co Ltd,Shanghai
600549,厦门钨业,Xiamen Tungsten Co Ltd,Shanghai
600570,恒生电子,Hundsun Technologies Inc.,Shanghai
600578,京能电力,"BEIJING JINGNENG POWER CO., LTD.",Shanghai
600583,海油工程,Offshore Oil Engineering Co Ltd,Shanghai
600585,海螺水泥,Anhui Conch Cement Co Ltd,Shanghai
600588,用友软件,"Yonyou Software Co., Ltd",Shanghai
600597,光明乳业,Bright Dairy & Food Co Ltd,Shanghai
600600,青岛啤酒,Tsingtao Brewery Co Ltd,Shanghai
600633,浙报传媒,"Zhe Jiang Daily Media Group Co.,Ltd",Shanghai
600637,百视通,"BesTV New Media Co., Ltd.",Shanghai
600642,申能股份,Shenergy Co Ltd,Shanghai
600648,外高桥,Shanghai Wai Gaoqiao Free Trade Zone Development Co Ltd,Shanghai
600649,城投控股,"Shanghai Chengtou Holding Co., Ltd.",Shanghai
600655,豫园商城,Shanghai Yuyuan Tourist Mart Co Ltd,Shanghai
600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",Shanghai
600663,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,Shanghai
600664,哈药股份,Harbin Pharmaceutical Group Co Ltd,Shanghai
600674,川投能源,Sichuan Chuantou Energy Co Ltd,Shanghai
600688,上海石化,Sinopec Shanghai Petrochemical Co Ltd,Shanghai
600690,青岛海尔,Qingdao Haier Co Ltd,Shanghai
600703,三安光电,"Sanan Optoelectronics Co.,Ltd",Shanghai
600705,中航资本,"AVIC CAPITAL CO.,LTD.",Shanghai
600718,东软集团,Neusoft Corporation,Shanghai
600739,辽宁成大,Liaoning Cheng Da Co Ltd,Shanghai
600741,华域汽车,HUAYU Automotive Systems Company Limited,Shanghai
600783,鲁信创投,"Luxin Venture Capital Group Co.,Ltd.",Shanghai
600795,国电电力,GD Power Development Co Ltd,Shanghai
600804,鹏博士,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",Shanghai
600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,Shanghai
600827,百联股份,"Shanghai Bailian Group Co.,Ltd.",Shanghai
600832,东方明珠,Shanghai Oriental Pearl (Group) Co Ltd,Shanghai
600837,海通证券,Haitong Securities Company Limited,Shanghai
600839,四川长虹,Sichuan Changhong Electric Co Ltd,Shanghai
600863,内蒙华电,Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd,Shanghai
600867,通化东宝,"Tonghua Dongbao Pharmaceutical Co.,Ltd.",Shanghai
600873,梅花生物,"Meihua Holdings Group Co., Ltd",Shanghai
600875,东方电气,Dongfang Electric Corporation Limited,Shanghai
600880,博瑞传播,Chengdu B-ray Media Co Ltd,Shanghai
600886,国投电力,"SDIC Power Holdings Co.,Ltd.",Shanghai
600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,Shanghai
600893,航空动力,Xi'An Aero-Engine Plc,Shanghai
600900,长江电力,China Yangtze Power Co Ltd,Shanghai
600998,九州通,Jointown Pharmaceutical Group Co Ltd,Shanghai
600999,招商证券,China Merchants Securities Co Ltd,Shanghai
601006,大秦铁路,Daqin Railway Co Ltd,Shanghai
601009,南京银行,Bank of Nanjing Co Ltd,Shanghai
601018,宁波港,Ningbo Port Co Ltd,Shanghai
601088,中国神华,China Shenhua Energy Co Ltd,Shanghai
601098,中南传媒,China South Publishing & Media Group Co Ltd,Shanghai
601111,中国国航,Air China Ltd,Shanghai
601117,中国化学,China National Chemical Engineering Co Ltd,Shanghai
601118,海南橡胶,China Hainan Rubber Industry Group Co Ltd,Shanghai
601158,重庆水务,Chongqing Water Group Co Ltd,Shanghai
601166,兴业银行,Industrial Bank,Shanghai
601168,西部矿业,Western Mining Co Ltd,Shanghai
601169,北京银行,Bank of Beijing Co Ltd,Shanghai
601179,中国西电,China XD Electric Co Ltd,Shanghai
601186,中国铁建,China Railway Construction Co Ltd,Shanghai
601216,内蒙君正,Inner Mongolia Junzheng Energy & Chemical Industry Co Ltd,Shanghai
601225,陕西煤业,Shaanxi Coal Industry Company Limited,Shanghai
601231,环旭电子,"Universal Scientific Industrial (Shanghai) Co.,Ltd.",Shanghai
601258,庞大集团,Pangda Automobile Trade Co Ltd,Shanghai
601288,农业银行,Agricultural Bank of China Co Ltd,Shanghai
601299,中国北车,China CNR Co Ltd,Shanghai
601318,中国平安,Ping An Insurance (Group) Company of China Ltd,Shanghai
601328,交通银行,Bank of Communications Co LTD,Shanghai
601333,广深铁路,Guangshen Railway Company Limited,Shanghai
601336,新华保险,New China Life Insurance Co Ltd,Shanghai
601377,兴业证券,Industrial Securities Co Ltd,Shanghai
601390,中国中铁,China Railway Group Limited,Shanghai
601398,工商银行,Industrial and Commercial Bank of China Ltd,Shanghai
601555,东吴证券,Soochow Securities Co Ltd,Shanghai
601600,中国铝业,Aluminum Corporation of China Limited,Shanghai
601601,中国太保,China Pacific Insurance (Group) Co Ltd,Shanghai
601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",Shanghai
601618,中国中冶,Metallurgical Corporation of China Co Ltd,Shanghai
601628,中国人寿,China Life Insurance Company Limited,Shanghai
601633,长城汽车,Great Wall Motor Co Ltd,Shanghai
601668,中国建筑,China State Construction Engineering Co Ltd,Shanghai
601669,中国电建,"Power Construction Corporation of China,Ltd",Shanghai
601688,华泰证券,Huatai Securities Co Ltd,Shanghai
601699,潞安环能,Shanxi Lu'an Environmental Energy Development Co Ltd,Shanghai
601727,上海电气,Shanghai Electric Group Co Ltd,Shanghai
601766,中国南车,CSR Co Ltd,Shanghai
601800,中国交建,China Communications Construction Company Limited,Shanghai
601808,中海油服,China Oilfield Services Limited,Shanghai
601818,光大银行,China Everbright Bank Co Ltd,Shanghai
601857,中国石油,PetroChina Co Ltd,Shanghai
601866,中海集运,China Shipping Container Lines Co Ltd,Shanghai
601888,中国国旅,China International Travel Service Co Ltd,Shanghai
601898,中煤能源,China Coal Energy Co Ltd,Shanghai
601899,紫金矿业,Zijin Mining Group Co Ltd,Shanghai
601901,方正证券,Founder Securities Co Ltd,Shanghai
601928,凤凰传媒,Jiangsu Phoenix Publishing & Media Co Ltd,Shanghai
601929,吉视传媒,"JISHI MEDIA CO.,LTD.",Shanghai
601933,永辉超市,Yonghui Superstores Co Ltd,Shanghai
601939,建设银行,China Construction Bank,Shanghai
601958,金钼股份,Jinduicheng Molybdenum Co Ltd,Shanghai
601988,中国银行,Bank of China Ltd,Shanghai
601989,中国重工,China Shipbuilding Industry Co Ltd,Shanghai
601992,金隅股份,BBMG Corporation,Shanghai
601998,中信银行,China Citic Bank Corporation Limited,Shanghai
603000,人民网,"People.cn CO.,LTD",Shanghai
603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,Shanghai
603699,纽威股份,"Neway Valve (Suzhou) Co., Ltd.",Shanghai
603993,洛阳钼业,"China Molybdenum Co., Ltd.",Shanghai
